GeneID	log2FC	Padj	Entrez_gene_ID
CICLE_v10000885mg	0.880712829746807	0.0358435411423697	NA
CICLE_v10000894mg	0.720667462868175	0.0478063831412047	18043010
CICLE_v10000910mg	-0.785551908836144	0.0451742788434761	18043165
CICLE_v10000918mg	1.49308528398812	0.00436763736812885	18041119
CICLE_v10000924mg	1.4160481657208	0.0188829168363037	18040761
CICLE_v10000926mg	1.36128033043113	0.0410463169387032	18043086
CICLE_v10000944mg	-1.09979143940482	0.0056359598818279	18042735
CICLE_v10000951mg	-1.16852740448672	3.78782221969654e-4	18041274
CICLE_v10000960mg	-1.06059012404114	0.00593972955180403	18040495
CICLE_v10000963mg	-2.03425313576509	0.00193635897492018	18041156
CICLE_v10000967mg	-1.97073730586642	0.00777732991038992	18043046
CICLE_v10001007mg	-0.859059460966146	0.027412831953681	18042430
CICLE_v10001023mg	1.14193779322526	0.018893987204414	18041617
CICLE_v10001047mg	-1.35179764779123	0.00343073874012952	18042667
CICLE_v10001084mg	1.14802477814817	0.00145993027406526	18040411
CICLE_v10001096mg	0.776478491403161	0.0444215872049234	18042799
CICLE_v10001106mg	3.42686624377157	7.45128968576398e-6	18041836
CICLE_v10001122mg	1.16766917425384	0.00331700904087861	NA
CICLE_v10001180mg	0.839885962950445	0.0365831242981615	NA
CICLE_v10001187mg	-1.18775257695618	0.00486504003665734	18040987
CICLE_v10001231mg	-3.67951663479481	1.57418756067107e-20	18040792
CICLE_v10001264mg	-0.798128099868034	0.0387161968459761	18040816
CICLE_v10001275mg	-0.779001710235647	0.0179897220817254	18041107
CICLE_v10001315mg	-0.984496358056189	0.0321252963655659	18042882
CICLE_v10001344mg	-0.673767893381039	0.0358681981457928	18042252
CICLE_v10001386mg	0.868964788851381	0.0202600207889403	18040401
CICLE_v10001388mg	1.19931399034779	0.0261812204159652	18040473
CICLE_v10001398mg	1.6782725382645	0.0179331627427833	18042889
CICLE_v10001399mg	1.79828886036988	5.24662805842759e-7	18042867
CICLE_v10001422mg	-0.797672826747437	0.0351053703482304	18041176
CICLE_v10001479mg	-1.66537033738114	0.00437006311014451	18041291
CICLE_v10001527mg	-0.885353715966054	0.0339592688270699	18042943
CICLE_v10001538mg	1.29619626366734	1.01775319155936e-4	18042519
CICLE_v10001546mg	-1.44861715147535	2.66324188012453e-4	18042235
CICLE_v10001561mg	-0.860415438263201	0.0263831162254994	18041864
CICLE_v10001614mg	-0.843676090866578	0.031434920185116	18041946
CICLE_v10001623mg	1.22824932762282	4.57229398448977e-4	18041638
CICLE_v10001677mg	-0.965455131485635	0.0106910666924549	18041817
CICLE_v10001687mg	2.00668821425539	1.81390108464717e-4	18041832
CICLE_v10001737mg	1.24388659005263	0.0448206223885444	18040884
CICLE_v10001749mg	-1.19602282731917	0.0206425847983007	NA
CICLE_v10001787mg	0.896647806550297	0.0260178762171423	18042010
CICLE_v10001796mg	0.692900467852148	0.0398073171956796	18041272
CICLE_v10001812mg	-1.7972366377419	4.14237616291478e-5	18040693
CICLE_v10001827mg	1.48386873515629	0.00180385581752813	18043109
CICLE_v10001844mg	-0.93248656349194	0.00439989677691856	NA
